timer                                                                               ms      calls
RESOURCE_LEAK_pass1                                                                  0          1
RESOURCE_LEAK_pass2                                                                  0          1
RETURN_LOCAL_pass1                                                                   0          1
RETURN_LOCAL_pass2                                                                   0          1
REVERSE_NEGATIVE_pass1                                                               0          1
REVERSE_NEGATIVE_pass2                                                               0          1
REVERSE_INULL                                                                        0          1
SECURE_TEMP_pass1                                                                    0          1
SECURE_TEMP_pass2                                                                    0          1
SIGN_EXTENSION                                                                       0          1
SINGLETON_RACE_pass1                                                                 0          1
SINGLETON_RACE_pass2                                                                 0          1
SIZEOF_MISMATCH                                                                      0          1
SLEEP_pass1                                                                          0          1
SLEEP_pass2                                                                          0          1
STACK_USE                                                                            0          1
STRAY_SEMICOLON                                                                      0          1
STREAM_FORMAT_STATE_pass1                                                            0          1
STREAM_FORMAT_STATE_pass2                                                            0          1
STRING_NULL_pass1                                                                    0          1
STRING_NULL_pass2                                                                    0          1
STRING_OVERFLOW_pass1                                                                0          1
STRING_OVERFLOW_pass2                                                                0          1
STRING_SIZE_pass1                                                                    0          1
STRING_SIZE_pass2                                                                    0          1
__SQLI_CPP_pass1                                                                     0          1
__SQLI_CPP_pass2                                                                     0          1
SWAPPED_ARGUMENTS                                                                    0          1
TAINTED_SCALAR_pass1                                                                 0          1
TAINTED_SCALAR_pass2                                                                 0          1
TAINTED_STRING_pass1                                                                 0          1
TAINTED_STRING_pass2                                                                 0          1
TOCTOU_pass1                                                                         0          1
TOCTOU_pass2                                                                         0          1
UNCAUGHT_EXCEPT_INTERNAL                                                             0          1
UNEXPECTED_CONTROL_FLOW                                                              0          1
UNINIT_pass1                                                                         0          1
UNINIT_pass2                                                                         0          1
UNINIT_CTOR_pass1                                                                    0          1
UNINIT_CTOR_pass2                                                                    0          1
UNINTENDED_GLOBAL                                                                    0          1
UNINTENDED_INTEGER_DIVISION                                                          0          1
UNREACHABLE                                                                          0          1
UNSAFE_XML_PARSE_CONFIG_pass1                                                        0          1
UNSAFE_XML_PARSE_CONFIG_pass2                                                        0          1
UNUSED_VALUE                                                                         0          1
USELESS_CALL                                                                         0          1
VARARGS_pass1                                                                        0          1
VARARGS_pass2                                                                        0          1
VIRTUAL_DTOR                                                                         0          1
VOLATILE_ATOMICITY_pass1                                                             0          1
VOLATILE_ATOMICITY_pass2                                                             0          1
WRAPPER_ESCAPE_pass1                                                                 3          1
WRAPPER_ESCAPE_pass2                                                                 0          1
WRONG_METHOD                                                                         0          1
__XPATH_INJECTION_CPP_pass1                                                          0          1
__XPATH_INJECTION_CPP_pass2                                                          0          1
EXTRACT_XREF_SUMMARY                                                                 0          1
FUNCTION_METRICS                                                                     0          1
DC.PREDICTABLE_KEY_PASSWORD                                                          0          1
DC.WEAK_CRYPTO                                                                       0          1
DC.STREAM_BUFFER                                                                     0          1
DC.DEADLOCK                                                                          0          1
DC.DANGEROUS                                                                         0          1
CODEXM_FUNCTIONS_CHECKER_PASS_BEFORE_TUS                                             0          1
RELAX_ACCESS_DBUFFER                                                                 0          1
RELAX_AFM_ALLOC                                                                      0          1
RELAX_AFM_FREE                                                                       0          1
RELAX_ALLOC                                                                          0          1
RELAX_CLOSE_RESOURCE                                                                 0          1
RELAX_BUFFER_SIZE                                                                    0          1
RELAX_CHECKED_RETURN                                                                 0          1
RELAX_DEREF_ARGS                                                                     0          1
RELAX_DIVISOR                                                                        0          1
RELAX_FREED_ARGS                                                                     0          1
RELAX_OBJECT_FREED                                                                   0          1
RELAX_OBJECT_USED                                                                    0          1
RELAX_INDEX_GENERIC                                                                  0          1
RELAX_MAYWRITE_NONPTR_FIELDS                                                         0          1
RELAX_ZERO_RETURN                                                                    0          1
RELAX_NEGATIVE_RETURN                                                                0          1
RELAX_NEGATIVE_SINK                                                                  0          1
RELAX_NULL_RETURN                                                                    0          1
RELAX_NEW_ARRAY                                                                      0          1
RELAX_DELETE_ARRAY                                                                   0          1
RELAX_ITERATOR_RETURNS                                                               0          1
RELAX_ITERATOR_SINKS                                                                 0          1
HBM_EQUALSORHASHCODE                                                                 0          1
HBM_MAYSETID                                                                         0          1
RELAX_ORM_LOAD                                                                       0          1
RELAX_JAVASCRIPT_OPTIONAL_CONSTRUCTOR                                                0          1
RELAX_JAVASCRIPT_THIS_PARAMETER                                                      0          1
RELAX_NOTHING                                                                        0          1
RELAX_ASPNET_MVC_VERSION_HEADER                                                      0          1
RELAX_DATAFLOW_PRIMITIVES                                                            0          1
RELAX_FORMAT_STRING_SINK                                                             0          1
RELAX_TAINTED_DATA_SOURCE                                                            0          1
RELAX_TAINTED_DATA_SINK                                                              0          1
RELAX_TAINTED_DATA_SANITIZE                                                          0          1
RELAX_TAINTED_DATA_TRANSITIVE                                                        0          1
RELAX_TAINTED_STRING_SOURCE                                                          0          1
RELAX_TAINTED_STRING_SINK_CONTENT                                                    0          1
RELAX_OS_CMD_INJECTION_SINK_CONTENT                                                  0          1
RELAX_PATH_MANIPULATION_SINK_CONTENT                                                 0          1
RELAX_XPATH_INJECTION_SINK_CONTENT                                                   0          1
RELAX_SQL_INJECTION_SINK_CONTENT                                                     0          1
RELAX_TAINTED_STRING_SANITIZE_CONTENT                                                0          1
RELAX_STRING_SIZE_RETURN                                                             0          1
RELAX_STRING_SIZE_SANITIZE                                                           0          1
RELAX_STRING_SIZE_SINK                                                               0          1
RELAX_STRING_SIZE_SINK_VARARG                                                        0          1
RELAX_STRING_NULL_ARGUMENT                                                           0          1
RELAX_STRING_NULL_RETURN                                                             0          1
RELAX_STRING_NULL_SINK                                                               0          1
RELAX_STRING_NULL_SINK_VARARG                                                        0          1
RELAX_STRING_OVERFLOW                                                                0          1
RELAX_CRYPTO_PRIMITIVES                                                              0          1
DERIVE_DYNAMIC_MAP_RW_MODELS                                                         0          1
RELAX_AUTHZ                                                                          0          1
RELAX_CSRF                                                                           0          1
RELAX_BAD_CERT_VERIFICATION                                                          0          1
RELAX_ANDROID_IMPLICIT_INTENT                                                        0          1
DUMMY_DERIVER_SECURITY                                                               0          1
RELAX_STACK_USE                                                                      0          1
RELAX_PARAM_NAMES                                                                    0          1
RELAX_BENIGN_CLOSURE                                                                 0          1
RELAX_SIDE_EFFECT_FREE                                                               0          1
DUMMY_DERIVER_STACK_USE                                                              0          1
RELAX_MAYWRITE                                                                       0          1
RELAX_MAYWRITE_NONPTR_FIELDS_UNINIT                                                  0          1
RELAX_MAYWRITE_ALL_FIELDS                                                            0          1
RELAX_READ                                                                           0          1
RELAX_MAYREAD_NONPTR_FIELDS                                                          0          1
RELAX_UNINIT_ALLOC                                                                   0          1
DUMMY_DERIVER_UNINIT                                                                 0          1
DERIVE_PTR_ARITH                                                                     0          1
DUMMY_DERIVER_PTR_ARITH                                                              0          1
RELAX_UNCAUGHT_EXCEPT                                                                0          1
DUMMY_DERIVER_EXCEPTIONS                                                             0          1
CHECKED_RETURN_STAT                                                                  0          1
CALL_SUPER_STAT                                                                      0          1
ADDR_ARG_STAT                                                                        0          1
BAD_EQ_STAT                                                                          0          1
BAD_LOCK_OBJECT_LOCK_SOURCE_STAT                                                     0          1
IDENTIFIER_TYPO_STAT                                                                 0          1
NON_STATIC_GUARDING_STATIC_STAT                                                      0          1
VOLATILE_ATOMICITY_STAT                                                              0          1
CODEXM_FUNCTIONS_STAT_PASS                                                           0          1
DTOR_EMPTINESS_STAT                                                                  0          1
MOVE_ASSIGN_STAT                                                                     0          1
BUILD_SINK_TYPE_GRAPH                                                                0          1
DERIVE_EL_BEAN_RW                                                                    0          1
DERIVE_DYNAMIC_MAP_RW_ACCESSES                                                       0          1
RELAX_CSRF_FILTERS                                                                   0          1
FRAMEWORK_ANALYSIS_SPRING                                                            2          1
WEBFORMS_DOM                                                                         0          1
RAZOR_SECTIONS                                                                       0          1
BUILD_STRING_GRAPH                                                                   0          1
  BUILD_STRING_GRAPH_MODELS                                                          0          1
  BUILD_STRING_GRAPH_JSP                                                             0          1
  STRING_GRAPH_DYNAMIC_MAP                                                           0          1
__HARDCODED_CREDENTIALS_BUDA_STATICS                                                 0          1
__XML_EXTERNAL_ENTITY_BUDA_STATICS                                                   0          1
INSECURE_COMMUNICATION_pass1                                                         0          1
INSECURE_COMMUNICATION_pass2                                                         0          1
__SENSITIVE_DATA_LEAK_BUDA_STATICS                                                   0          1
__SQLI_BUDA_STATICS                                                                  0          1
__UNENCRYPTED_SENSITIVE_DATA_BUDA_STATICS                                            0          1
AUTHZ_STAT                                                                           0          1
CSRF_STAT                                                                            0          1
PREDICTABLE_RANDOM_SEED                                                              0          1
EL_INJECTION                                                                         0          1
__HEADER_INJECTION_STRING_GRAPH                                                      0          1
JAVA_CODE_INJECTION                                                                  0          1
JCR_INJECTION                                                                        0          1
JSP_DYNAMIC_INCLUDE                                                                  0          1
JSP_SQL_INJECTION                                                                    0          1
LDAP_INJECTION                                                                       0          1
__NOSQL_QUERY_INJECTION_STRING_GRAPH                                                 0          1
OGNL_INJECTION                                                                       0          1
__REGEX_INJECTION_STRING_GRAPH                                                       0          1
__SCRIPT_CODE_INJECTION_STRING_GRAPH                                                 0          1
SESSION_FIXATION                                                                     0          1
TRUST_BOUNDARY_VIOLATION                                                             0          1
UNKNOWN_LANGUAGE_INJECTION                                                           0          1
UNRESTRICTED_DISPATCH                                                                0          1
__UNSAFE_DESERIALIZATION_STRING_GRAPH                                                0          1
UNSAFE_JNI                                                                           0          1
UNSAFE_NAMED_QUERY                                                                   0          1
__XPATH_INJECTION_BUDA                                                               0          1
__UNSAFE_REFLECTION_STRING_GRAPH                                                     0          2
__TAINTED_ENVIRONMENT_WITH_EXECUTION_STRING_GRAPH                                    0          1
DATAFLOW_INJECTION                                                                   0          1
__INSECURE_RANDOM_JAVA_CSHARP                                                        0          1
__OS_CMD_INJECTION_STRING_GRAPH                                                      0          1
__PATH_MANIPULATION_STRING_GRAPH                                                     0          1
__URL_MANIPULATION_STRING_GRAPH                                                      0          1
__SENSITIVE_DATA_LEAK_STRING_GRAPH                                                   0          1
__SQLI_STRING_GRAPH                                                                  0          1
TAINT_ASSERT                                                                         0          1
__UNENCRYPTED_SENSITIVE_DATA_STRING_GRAPH                                            0          1
WEAK_GUARD_DATAFLOW_INJECTION                                                        0          1
__WEAK_GUARD_STRING_GRAPH                                                            0          1
__WEAK_PASSWORD_HASH_STRING_GRAPH                                                    0          1
__XML_EXTERNAL_ENTITY_STRING_GRAPH                                                   0          1
__CSRF_JAVA_CSHARP_pass1                                                             0          1
__CSRF_JAVA_CSHARP_pass2                                                             0          1
__HARDCODED_CREDENTIALS_STRING_GRAPH                                                 0          1
__OPEN_REDIRECT_STRING_GRAPH                                                         0          1
__MISSING_AUTHZ_JAVA_CSHARP                                                          0          1
UNLOGGED_SECURITY_EXCEPTION_pass1                                                    0          1
UNLOGGED_SECURITY_EXCEPTION_pass2                                                    0          1
__XSS_STRING_GRAPH                                                                   0          1
DATAFLOW_CALLGRAPH_CHECKER                                                           0          1
BUDA_DIRECTIVES_TYPE_INFERENCE_CHECKER                                               0          1
__REGEX_INJECTION_BUDA                                                               0          1
__PATH_MANIPULATION_BUDA                                                             0          1
__NOSQL_QUERY_INJECTION_BUDA                                                         0          1
SESSIONSTORAGE_MANIPULATION                                                          0          1
CSS_INJECTION                                                                        0          1
ANGULAR_EXPRESSION_INJECTION                                                         0          1
SYMFONY_EL_INJECTION                                                                 0          1
__XPATH_INJECTION_BUDA_STATICS                                                       0          1
